rep,target_prevalence,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to,alpha_used
3,0.4,hgb,weighted,0.788,0.1865,0.071,0.073,0.792,-0.356,0.4615,0.4,0.1746,0.275,0.6,
3,0.5,logreg,unweighted,0.7939,0.1858,0.0301,0.0387,0.992,-0.001,0.5,0.5,0.2275,0.3838,0.6,
3,0.5,logreg,weighted,0.7939,0.1858,0.0301,0.0387,0.992,-0.001,0.5,0.5,0.2275,0.3838,0.6,
3,0.5,rf,unweighted,0.8002,0.1807,0.0142,0.0288,1.019,-0.002,0.5004,0.5,0.237,0.3843,0.6,
3,0.5,rf,weighted,0.8002,0.1807,0.018,0.0266,1.021,-0.001,0.5004,0.5,0.237,0.3841,0.6,
3,0.5,hgb,unweighted,0.7909,0.1862,0.0318,0.0372,0.796,-0.018,0.502,0.5,0.2268,0.3817,0.6,
3,0.5,hgb,weighted,0.7909,0.1862,0.0318,0.0372,0.796,-0.018,0.502,0.5,0.2268,0.3817,0.6,
4,0.05,logreg,unweighted,0.7922,0.0453,0.0072,0.0167,0.962,-0.095,0.0499,0.05,0.0229,0.0012,0.23,
4,0.05,logreg,weighted,0.7944,0.1799,0.3307,0.3307,0.741,-2.906,0.3807,0.05,0.0006,-0.1352,0.05,
4,0.05,rf,unweighted,0.7947,0.0442,0.0089,0.0129,0.862,-0.327,0.0501,0.05,0.022,-0.0007,0.51,
4,0.05,rf,weighted,0.7865,0.09,0.1669,0.1669,0.891,-1.99,0.2169,0.05,0.0089,-0.054,0.06,
4,0.05,hgb,unweighted,0.7462,0.0479,0.0232,0.0263,0.508,-1.108,0.045,0.05,0.0178,-0.002,0.15,
4,0.05,hgb,weighted,0.7334,0.1071,0.1548,0.1562,0.434,-2.288,0.2048,0.05,0.0123,-0.0457,0.07,
4,0.1,logreg,unweighted,0.7822,0.0806,0.0184,0.0196,0.977,-0.045,0.1,0.1,0.0434,0.0226,0.41,
4,0.1,logreg,weighted,0.7821,0.1848,0.3026,0.3026,0.831,-2.171,0.4026,0.1,0.0047,-0.0862,0.1,
4,0.1,rf,unweighted,0.789,0.078,0.0039,0.0068,0.963,-0.077,0.1009,0.1,0.044,0.0251,0.57,
4,0.1,rf,weighted,0.7845,0.129,0.198,0.198,1.033,-1.592,0.298,0.1,0.017,-0.0402,0.12,
4,0.1,hgb,unweighted,0.7628,0.0825,0.024,0.0243,0.666,-0.544,0.0958,0.1,0.0387,0.0202,0.35,
4,0.1,hgb,weighted,0.7565,0.1442,0.1926,0.194,0.627,-1.758,0.2926,0.1,0.0245,-0.03,0.14,
4,0.15,logreg,unweighted,0.7746,0.1099,0.02,0.0231,0.98,-0.03,0.1501,0.15,0.0636,0.0504,0.49,
4,0.15,logreg,weighted,0.7761,0.1889,0.2694,0.2694,0.885,-1.722,0.4194,0.15,0.0126,-0.0307,0.16,
4,0.15,rf,unweighted,0.7774,0.1069,0.0137,0.0142,0.965,-0.054,0.1506,0.15,0.0622,0.052,0.57,
4,0.15,rf,weighted,0.7717,0.1522,0.1918,0.1918,0.999,-1.317,0.3418,0.15,0.0291,-0.0064,0.19,
4,0.15,hgb,unweighted,0.751,0.1121,0.0316,0.0346,0.691,-0.41,0.1471,0.15,0.0546,0.0437,0.48,
4,0.15,hgb,weighted,0.7454,0.1677,0.1923,0.1952,0.654,-1.432,0.3423,0.15,0.0339,-0.0004,0.19,
4,0.2,logreg,unweighted,0.7861,0.1312,0.031,0.031,0.989,-0.013,0.2,0.2,0.09,0.09,0.6,
4,0.2,logreg,weighted,0.7867,0.1846,0.2276,0.2276,0.901,-1.376,0.4276,0.2,0.0268,0.0268,0.23,
4,0.2,rf,unweighted,0.7849,0.1279,0.0119,0.0145,0.976,-0.026,0.2,0.2,0.0926,0.0926,0.56,
4,0.2,rf,weighted,0.7812,0.1614,0.1711,0.1711,1.017,-1.078,0.371,0.2,0.0393,0.0393,0.45,
4,0.2,hgb,unweighted,0.7689,0.1345,0.0278,0.0322,0.727,-0.284,0.1979,0.2,0.086,0.086,0.54,
4,0.2,hgb,weighted,0.7689,0.1719,0.1744,0.1744,0.725,-1.161,0.3698,0.2,0.05,0.05,0.36,
4,0.3,logreg,unweighted,0.7926,0.161,0.0331,0.0362,0.988,-0.008,0.2998,0.3,0.1363,0.1752,0.6,
4,0.3,logreg,weighted,0.7926,0.1833,0.1496,0.1496,0.955,-0.837,0.4496,0.3,0.086,0.1466,0.6,
4,0.3,rf,unweighted,0.7892,0.1597,0.0147,0.0228,0.987,-0.004,0.2992,0.3,0.1364,0.1718,0.6,
4,0.3,rf,weighted,0.7889,0.175,0.1182,0.1182,1.015,-0.674,0.4182,0.3,0.1152,0.1539,0.6,
4,0.3,hgb,unweighted,0.7735,0.1668,0.0338,0.035,0.766,-0.149,0.2979,0.3,0.1301,0.1661,0.6,
4,0.3,hgb,weighted,0.7736,0.1834,0.1231,0.1231,0.766,-0.725,0.4185,0.3,0.1051,0.1555,0.6,
4,0.4,logreg,unweighted,0.7862,0.182,0.0386,0.0458,0.991,-0.003,0.3999,0.4,0.1821,0.267,0.6,
4,0.4,logreg,weighted,0.7862,0.1874,0.0788,0.0788,0.979,-0.402,0.4758,0.4,0.1689,0.2601,0.6,
4,0.4,rf,unweighted,0.7905,0.1774,0.0182,0.0264,1.008,0.005,0.3996,0.4,0.1879,0.2705,0.6,
4,0.4,rf,weighted,0.7904,0.1815,0.062,0.062,1.019,-0.326,0.4601,0.4,0.182,0.262,0.6,
4,0.4,hgb,unweighted,0.7788,0.1831,0.0309,0.0351,0.805,-0.077,0.401,0.4,0.182,0.2646,0.6,
4,0.4,hgb,weighted,0.7799,0.1874,0.0709,0.0709,0.807,-0.367,0.4627,0.4,0.1733,0.262,0.6,
4,0.5,logreg,unweighted,0.7866,0.1892,0.0381,0.0459,0.984,0.0,0.4997,0.5,0.2233,0.3815,0.6,
