rep,target_prevalence,actual_prevalence,algo,theoretical_shift,shift_median,shift_mean,shift_sd,f_direct_median,f_direct_mean,shift_vs_logodds_slope,clipped_fraction,calib_slope_unw,calib_intercept_unw,calib_slope_w,calib_intercept_w
2,0.3,0.3,rf,0.8473,0.6985,0.6813,0.1295,0.8244,0.8041,-0.0201,0.0,1.0005,0.0016,1.0223,-0.6765
2,0.3,0.3,hgb,0.8473,0.7698,0.7366,0.2787,0.9085,0.8694,0.0082,0.0,0.7848,-0.1455,0.7773,-0.7378
2,0.4,0.4,logreg,0.4055,0.3974,0.4006,0.0316,0.98,0.988,0.0238,0.0,0.9907,-0.0036,0.9679,-0.4022
2,0.4,0.4,rf,0.4055,0.3359,0.3262,0.0906,0.8283,0.8044,-0.0118,0.0,0.99,-0.0026,0.9953,-0.3247
2,0.4,0.4,hgb,0.4055,0.3697,0.3588,0.1951,0.9117,0.8849,-0.0025,0.0,0.7862,-0.0697,0.7876,-0.3563
2,0.5,0.5,logreg,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.9918,-0.0005,0.9918,-0.0005
2,0.5,0.5,rf,-0.0,-0.0007,0.0004,0.0676,,,0.0011,0.0,1.0104,0.0079,1.0102,0.0081
2,0.5,0.5,hgb,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.7813,-0.0097,0.7813,-0.0097
3,0.05,0.05,logreg,2.9444,2.8136,2.836,0.2221,0.9556,0.9632,0.2172,0.0,0.943,-0.1495,0.7669,-2.9031
3,0.05,0.05,rf,2.9444,2.123,2.0863,0.4252,0.721,0.7085,-0.1614,0.0,0.8249,-0.4345,0.911,-1.9943
3,0.05,0.05,hgb,2.9444,2.2539,2.1698,0.7188,0.7655,0.7369,-0.0079,0.00167,0.536,-1.0704,0.4516,-2.3377
3,0.1,0.1,logreg,2.1972,2.0953,2.1177,0.1594,0.9536,0.9638,0.144,0.0,0.9794,-0.0378,0.8505,-2.1681
3,0.1,0.1,rf,2.1972,1.6445,1.622,0.294,0.7484,0.7382,-0.0516,0.0,0.9246,-0.1369,0.9545,-1.5981
3,0.1,0.1,hgb,2.1972,1.7631,1.6903,0.5559,0.8024,0.7693,0.0634,0.00017,0.6581,-0.5517,0.628,-1.7445
3,0.15,0.15,logreg,1.7346,1.6599,1.6828,0.1361,0.9569,0.9701,0.1216,0.0,0.9833,-0.0251,0.8747,-1.7208
3,0.15,0.15,rf,1.7346,1.3636,1.3508,0.23,0.7861,0.7788,-0.0581,0.0,0.9693,-0.0434,1.0147,-1.308
3,0.15,0.15,hgb,1.7346,1.5031,1.4514,0.4147,0.8666,0.8367,0.0387,0.0,0.7029,-0.3801,0.6728,-1.4385
3,0.2,0.2,logreg,1.3863,1.3399,1.3498,0.0981,0.9665,0.9737,0.0827,0.0,0.9906,-0.0097,0.916,-1.3727
3,0.2,0.2,rf,1.3863,1.1161,1.0975,0.1864,0.8051,0.7916,-0.0438,0.0,0.9873,-0.0137,1.0282,-1.0715
3,0.2,0.2,hgb,1.3863,1.2017,1.17,0.3462,0.8668,0.844,0.008,0.0,0.741,-0.2664,0.7276,-1.153
3,0.3,0.3,logreg,0.8473,0.8199,0.8292,0.0669,0.9677,0.9786,0.05,0.0,0.9917,-0.0082,0.9435,-0.8406
3,0.3,0.3,rf,0.8473,0.6961,0.6773,0.1356,0.8216,0.7993,-0.0206,0.0,0.9933,-0.0021,1.0235,-0.6702
3,0.3,0.3,hgb,0.8473,0.7584,0.7299,0.2775,0.8951,0.8615,0.0052,0.0,0.761,-0.1669,0.7608,-0.7349
3,0.4,0.4,logreg,0.4055,0.3953,0.4,0.0377,0.975,0.9865,0.0275,0.0,0.9915,-0.0026,0.9646,-0.4015
3,0.4,0.4,rf,0.4055,0.3326,0.3235,0.094,0.8202,0.7978,-0.0091,0.0,1.0171,0.0031,1.0278,-0.3275
3,0.4,0.4,hgb,0.4055,0.365,0.3546,0.2129,0.9001,0.8745,-0.003,0.0,0.7954,-0.0676,0.7923,-0.3557
3,0.5,0.5,logreg,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.9916,-0.0006,0.9916,-0.0006
3,0.5,0.5,rf,-0.0,0.0006,-0.001,0.0676,,,-0.0035,0.0,1.0194,-0.0016,1.0208,-0.0015
3,0.5,0.5,hgb,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.7958,-0.0182,0.7958,-0.0182
4,0.05,0.05,logreg,2.9444,2.7617,2.7866,0.2981,0.9379,0.9464,0.3034,0.0,0.9621,-0.0949,0.7414,-2.9058
4,0.05,0.05,rf,2.9444,2.0578,2.0304,0.4632,0.6989,0.6896,-0.0784,0.0,0.8615,-0.3268,0.891,-1.99
4,0.05,0.05,hgb,2.9444,2.1167,2.0132,0.7499,0.7189,0.6837,0.0855,0.02217,0.5083,-1.1083,0.4341,-2.2884
4,0.1,0.1,logreg,2.1972,2.1025,2.1158,0.1815,0.9569,0.9629,0.1642,0.0,0.9768,-0.0445,0.8307,-2.1709
4,0.1,0.1,rf,2.1972,1.6411,1.6315,0.3121,0.7469,0.7425,-0.0528,0.0,0.9625,-0.0771,1.0333,-1.5918
4,0.1,0.1,hgb,2.1972,1.8003,1.7213,0.535,0.8193,0.7834,0.0552,0.0,0.6662,-0.5441,0.6267,-1.7575
4,0.15,0.15,logreg,1.7346,1.6806,1.6886,0.131,0.9689,0.9735,0.1074,0.0,0.9803,-0.0304,0.8853,-1.7221
4,0.15,0.15,rf,1.7346,1.3524,1.3304,0.2447,0.7797,0.767,-0.0239,0.0,0.9649,-0.0543,0.9985,-1.3165
4,0.15,0.15,hgb,1.7346,1.4668,1.4029,0.4434,0.8456,0.8088,0.0592,0.0,0.6909,-0.4098,0.6544,-1.4322
4,0.2,0.2,logreg,1.3863,1.338,1.3485,0.1164,0.9652,0.9727,0.0977,0.0,0.9894,-0.0128,0.9014,-1.3756
4,0.2,0.2,rf,1.3863,1.1246,1.1068,0.1957,0.8112,0.7984,-0.0465,0.0,0.976,-0.0265,1.017,-1.0783
