rep,target_prevalence,actual_prevalence,n,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to
0,0.5,0.5,6000,rf,weighted + isotonic,0.7921,0.1832,0.0147,0.021,0.931,-0.001,0.4999,0.5,0.2332,0.3872,0.6
0,0.5,0.5,6000,hgb,unweighted,0.7822,0.1899,0.0342,0.0346,0.775,-0.016,0.5014,0.5,0.2197,0.3819,0.6
0,0.5,0.5,6000,hgb,weighted,0.7822,0.1899,0.0342,0.0346,0.775,-0.016,0.5014,0.5,0.2197,0.3819,0.6
0,0.5,0.5,6000,hgb,weighted + Platt,0.7818,0.1892,0.0195,0.0247,0.996,-0.0,0.5,0.5,0.22,0.3834,0.6
0,0.5,0.5,6000,hgb,weighted + isotonic,0.7776,0.1894,0.009,0.0195,0.919,-0.002,0.4997,0.5,0.2162,0.3841,0.6
1,0.05,0.05,6000,logreg,unweighted,0.7927,0.0455,0.0099,0.0157,0.963,-0.1,0.0502,0.05,0.0227,0.0007,0.21
1,0.05,0.05,6000,logreg,weighted,0.7919,0.1801,0.3322,0.3322,0.737,-2.907,0.3822,0.05,0.0011,-0.14,0.05
1,0.05,0.05,6000,logreg,weighted + Platt,0.7903,0.0455,0.0115,0.0185,0.979,-0.061,0.0502,0.05,0.0233,-0.0002,0.19
1,0.05,0.05,6000,logreg,weighted + isotonic,0.7799,0.044,0.0036,0.0055,0.868,-0.322,0.0501,0.05,0.0219,0.0007,0.21
1,0.05,0.05,6000,rf,unweighted,0.7863,0.0441,0.0061,0.0065,0.86,-0.339,0.0503,0.05,0.022,0.003,0.29
1,0.05,0.05,6000,rf,weighted,0.78,0.089,0.1715,0.1715,0.935,-1.978,0.2215,0.05,0.0055,-0.0561,0.05
1,0.05,0.05,6000,rf,weighted + Platt,0.7791,0.0444,0.002,0.0064,0.998,-0.005,0.05,0.05,0.0221,0.002,0.37
1,0.05,0.05,6000,rf,weighted + isotonic,0.768,0.0446,0.0029,0.0055,0.826,-0.437,0.0501,0.05,0.0227,0.0021,0.38
1,0.05,0.05,6000,hgb,unweighted,0.7601,0.0465,0.0216,0.0234,0.562,-0.957,0.0451,0.05,0.0186,-0.0007,0.18
1,0.05,0.05,6000,hgb,weighted,0.7439,0.1027,0.153,0.153,0.49,-2.255,0.203,0.05,0.0126,-0.0453,0.07
1,0.05,0.05,6000,hgb,weighted + Platt,0.7428,0.0453,0.0012,0.0031,0.993,-0.017,0.05,0.05,0.0171,0.0007,0.37
1,0.05,0.05,6000,hgb,weighted + isotonic,0.7289,0.0455,0.0023,0.0072,0.846,-0.401,0.0501,0.05,0.0156,0.001,0.49
